player_name,nic_year,pro_pos,school,GM
Tre'Vius Hodges-Tomlinson,2023,CB,TCU,CHI_Ryan Poles
Cameron Young,2023,DT,Mississippi State,CHI_Ryan Poles
Tommy Akingbesote,2025,DT,Maryland,CHI_Ryan Poles
Tyleik Williams,2025,DT,Ohio State,CHI_Ryan Poles
Howard Cross III,2025,DT,Notre Dame,CHI_Ryan Poles
Chuba Hubbard,2021,RB,Oklahoma State,CHI_Ryan Poles
Rhamondre Stevenson,2021,RB,Oklahoma,CHI_Ryan Poles
Michael Carter,2021,CB,Duke,CHI_Ryan Poles
LaDarius Henderson,2024,G,Michigan,CHI_Ryan Poles
Jason Strowbridge,2020,ED,North Carolina,CHI_Ryan Poles
Eyioma Uwazurike,2022,DT,Iowa State,CHI_Ryan Poles
Torricelli Simpkins III,2025,G,South Carolina,CHI_Ryan Poles
McKinnley Jackson,2024,DT,Texas A&M,CHI_Ryan Poles
Levi Onwuzurike,2021,DT,Washington,CHI_Ryan Poles
DJ James,2024,CB,Auburn,CHI_Ryan Poles
Cameron Thomas,2022,ED,San Diego State,CHI_Ryan Poles
Javon Kinlaw,2020,DT,South Carolina,CHI_Ryan Poles
Tyler Bass,2020,K,Georgia Southern,CHI_Ryan Poles
Derrick Harmon,2025,DT,Oregon,CHI_Ryan Poles
Jamaree Caldwell,2025,DT,Oregon,CHI_Ryan Poles
Eric Gregory,2025,DT,Arkansas,CHI_Ryan Poles
Thomas Booker,2022,ED,Stanford,CHI_Ryan Poles
Alijah Huzzie,2025,CB,North Carolina,CHI_Ryan Poles
T'Vondre Sweat,2024,DT,Texas,CHI_Ryan Poles
Davon Hamilton,2020,DT,Ohio State,CHI_Ryan Poles
Marlon Tuipulotu,2021,DT,USC,CHI_Ryan Poles
Tedarrell Slaton,2021,DT,Florida,CHI_Ryan Poles
Christian Barmore,2021,DT,Alabama,CHI_Ryan Poles
Elijah Simmons,2025,DT,Tennessee,CHI_Ryan Poles
Jonathan Ford,2022,DT,Miami (FL),CHI_Ryan Poles
Gervon Dexter Sr.,2023,DT,Florida,CHI_Ryan Poles
Zach Frazier,2024,C,West Virginia,CHI_Ryan Poles
Byron Murphy II,2024,DT,Texas,CHI_Ryan Poles
Justin Rogers,2011,CB,Richmond,CHI_Ryan Poles
Jordan Jefferson,2024,DT,LSU,CHI_Ryan Poles
Marcus Harris,2024,DT,Auburn,CHI_Ryan Poles
Nazir Stackhouse,2025,DT,Georgia,CHI_Ryan Poles
Derrick Brown,2020,DT,Auburn,CHI_Ryan Poles
Jovaughn Gwyn,2023,G,South Carolina,CHI_Ryan Poles
Khalil Davis,2020,DT,Nebraska,CHI_Ryan Poles
Kyle Kennard,2025,ED,South Carolina,CHI_Ryan Poles
Jamaree Salyer,2022,G,Georgia,CHI_Ryan Poles
Justin Eboigbe,2024,DT,Alabama,CHI_Ryan Poles
Jawhar Jordan,2024,RB,Louisville,CHI_Ryan Poles
Damar Hamlin,2021,S,Pittsburgh,CHI_Ryan Poles
Alfred Collins,2025,DT,Texas,CHI_Ryan Poles
Deone Walker,2025,DT,Kentucky,CHI_Ryan Poles
Jordan Phillips,2015,DT,Oklahoma,CHI_Ryan Poles
Elijah Molden,2021,CB,Washington,CHI_Ryan Poles
Demetric Felton,2021,WR,UCLA,CHI_Ryan Poles
Jer'Zhan Newton,2024,DT,Illinois,CHI_Ryan Poles
Joshuah Bledsoe,2021,S,Missouri,CHI_Ryan Poles
Kenneth Grant,2025,DT,Michigan,CHI_Ryan Poles
Rasheen Ali,2024,RB,Marshall,CHI_Ryan Poles
Kaimon Rucker,2025,ED,North Carolina,CHI_Ryan Poles
Jaylen Wright,2024,RB,Tennessee,CHI_Ryan Poles
Luke Wattenberg,2022,C,Washington,CHI_Ryan Poles
Deuce Vaughn,2023,RB,Kansas State,CHI_Ryan Poles
Trestan Ebner,2022,RB,Baylor,CHI_Ryan Poles
Rashard Lawrence,2020,DT,LSU,CHI_Ryan Poles
Kalel Mullings,2025,RB,Michigan,CHI_Ryan Poles
Walter Nolen,2025,DT,Ole Miss,CHI_Ryan Poles
Devonte Wyatt,2022,DT,Georgia,CHI_Ryan Poles
Quinton Bohanna,2021,DT,Kentucky,CHI_Ryan Poles
Ty Hamilton,2025,DT,Ohio State,CHI_Ryan Poles
Keondre Coburn,2023,DT,Texas,CHI_Ryan Poles
Zachary Carter,2022,DT,Florida,CHI_Ryan Poles
Gary Brightwell,2021,RB,Arizona,CHI_Ryan Poles
Corey Kiner,2025,RB,Cincinnati,CHI_Ryan Poles
Blake Corum,2024,RB,Michigan,CHI_Ryan Poles
Hassan Haskins,2022,RB,Michigan,CHI_Ryan Poles
Kenneth Gainwell,2021,RB,Memphis,CHI_Ryan Poles
Kenny McIntosh,2023,RB,Georgia,CHI_Ryan Poles
Broderick Washington Jr.,2020,DT,Texas Tech,CHI_Ryan Poles
Khyiris Tonga,2021,DT,BYU,CHI_Ryan Poles
Jake Camarda,2022,P,Georgia,CHI_Ryan Poles
Grant Stuard,2021,LB,Houston,CHI_Ryan Poles
Siaki Ika,2023,DT,Baylor,CHI_Ryan Poles
Byron Young,2023,DT,Alabama,CHI_Ryan Poles
JJ Pegues,2025,DT,Ole Miss,CHI_Ryan Poles
Junior Tafuna,2025,DT,Utah,CHI_Ryan Poles
Mazi Smith,2023,DT,Michigan,CHI_Ryan Poles
Tyler Shelvin,2021,DT,LSU,CHI_Ryan Poles
James Lynch,2020,DT,Baylor,CHI_Ryan Poles
Payton Page,2025,DT,Clemson,CHI_Ryan Poles
Tatum Bethune,2024,LB,Florida State,CHI_Ryan Poles
Anthony Gould,2024,WR,Oregon State,CHI_Ryan Poles
Kaleb Johnson,2025,RB,Iowa,CHI_Ryan Poles
Tim Smith,2025,DT,Alabama,CHI_Ryan Poles
Ahmed Hassanein,2025,ED,Boise State,CHI_Ryan Poles
Phil Mafah,2025,RB,Clemson,CHI_Ryan Poles
D.J. Davidson,2022,DT,Arizona State,CHI_Ryan Poles
DJ Turner II,2023,CB,Michigan,CHI_Ryan Poles
Jamar Johnson,2021,S,Indiana,CHI_Ryan Poles
Zion Logue,2024,DT,Georgia,CHI_Ryan Poles
Sataoa Laumea,2024,G,Utah,CHI_Ryan Poles
Xavier Truss,2025,G,Georgia,CHI_Ryan Poles
Otito Ogbonnia,2022,DT,UCLA,CHI_Ryan Poles
John Penisini,2020,DT,Utah,CHI_Ryan Poles
Tre Norwood,2021,CB,Oklahoma,CHI_Ryan Poles
Yahya Black,2025,DT,Iowa,CHI_Ryan Poles
Larry Rountree III,2021,RB,Missouri,CHI_Ryan Poles
Leki Fotu,2020,DT,Utah,CHI_Ryan Poles
Devon Achane,2023,RB,Texas A&M,CHI_Ryan Poles
Jay Tufele,2021,DT,USC,CHI_Ryan Poles
Jesse Luketa,2022,ED,Penn State,CHI_Ryan Poles
Jonathan Greenard,2020,ED,Florida,CHI_Ryan Poles
Jay Toia,2025,DT,UCLA,CHI_Ryan Poles
Kalia Davis,2022,DT,UCF,CHI_Ryan Poles
Will Sherman,2021,T,Colorado,CHI_Ryan Poles
Taliese Fuaga,2024,T,Oregon State,CHI_Ryan Poles
Anfernee Jennings,2020,LB,Alabama,CHI_Ryan Poles
Jackson Hawes,2025,TE,Georgia Tech,CHI_Ryan Poles
Trenton Gill,2022,P,NC State,CHI_Ryan Poles
Jalen McLeod,2025,LB,Auburn,CHI_Ryan Poles
J.J. Nelson,2015,WR,UAB,CHI_Ryan Poles
Jaylin Lane,2025,WR,Virginia Tech,CHI_Ryan Poles
Bryce Baringer,2023,P,Michigan State,CHI_Ryan Poles
Dorian Strong,2025,CB,Virginia Tech,CHI_Ryan Poles
K.J. Britt,2021,LB,Auburn,CHI_Ryan Poles
Tariq Woolen,2022,CB,UTSA,CHI_Ryan Poles
Ben Mason,2021,RB,Michigan,CHI_Ryan Poles
Nick Samac,2024,C,Michigan State,CHI_Ryan Poles
Brennan Jackson,2024,ED,Washington State,CHI_Ryan Poles
Neil Farrell Jr.,2022,DT,LSU,CHI_Ryan Poles
Olu Oluwatimi,2023,C,Michigan,CHI_Ryan Poles
Braden Fiske,2024,DT,Florida State,CHI_Ryan Poles
Jahvaree Ritzie,2025,DT,North Carolina,CHI_Ryan Poles
Noah Gray,2021,TE,Duke,CHI_Ryan Poles
Kyle Williams,2010,WR,Arizona State,CHI_Ryan Poles
Que Robinson,2025,ED,Alabama,CHI_Ryan Poles
KT Leveston,2024,G,Kansas State,CHI_Ryan Poles
Patrick McMorris,2024,S,California,CHI_Ryan Poles
Grant Calcaterra,2022,TE,SMU,CHI_Ryan Poles
DeAndre Jules,2025,DT,South Carolina,CHI_Ryan Poles
Gavin Bartholomew,2025,TE,Pittsburgh,CHI_Ryan Poles
Cam Horsley,2025,DT,Boston College,CHI_Ryan Poles
Branson Taylor,2025,T,Pittsburgh,CHI_Ryan Poles
Lucas Niang,2020,T,TCU,CHI_Ryan Poles
Christian Haynes,2024,G,Connecticut,CHI_Ryan Poles
Nick Martin,2016,C,Notre Dame,CHI_Ryan Poles
