player_name,nic_year,pro_pos,school,Actual_GM,Correct,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Sedrick Van Pran-Granger,2024,C,Georgia,BUF_Brandon Beane,1,BUF_Brandon Beane,0.356121,GB_Brian Gutekunst,0.029498065,LA_Les Snead,0.017920213,BAL_Eric DeCosta,0.017752469,MIN_Kwesi Adofo-Mensah,0.016775168
Sione Vaki,2024,S,Utah,DET_Brad Holmes,1,DET_Brad Holmes,0.35477778,JAX_Trent Baalke,0.05806361,BUF_Brandon Beane,0.04996225,LA_Les Snead,0.03546408,NYG_Joe Schoen,0.024297087
Ray Davis,2024,RB,Kentucky,BUF_Brandon Beane,1,BUF_Brandon Beane,0.35297742,GB_Brian Gutekunst,0.06845382,TB_Jason Licht,0.020700179,BAL_Eric DeCosta,0.017747939,HOU_Nick Caserio,0.014262079
Kamren Kinchens,2024,S,Miami (FL),LA_Les Snead,1,LA_Les Snead,0.34893534,SEA_John Schneider,0.048582412,SF_John Lynch,0.026322586,CAR_Scott Fitterer,0.023224123,DET_Brad Holmes,0.022437211
Nate Wiggins,2024,CB,Clemson,BAL_Eric DeCosta,1,BAL_Eric DeCosta,0.34753457,TB_Jason Licht,0.038673602,GB_Brian Gutekunst,0.019680612,CHI_Ryan Poles,0.017791286,KC_Brett Veach,0.017687561
Jarrian Jones,2024,CB,Florida State,JAX_Trent Baalke,1,JAX_Trent Baalke,0.34568557,GB_Brian Gutekunst,0.02904276,IND_Chris Ballard,0.027735937,NO_Mickey Loomis,0.02495878,NYG_Joe Schoen,0.023033356
Ben Sinnott,2024,TE,Kansas State,WAS_Adam Peters,1,WAS_Adam Peters,0.34225455,GB_Brian Gutekunst,0.046784688,DET_Brad Holmes,0.028678568,MIA_Chris Grier,0.027795803,BUF_Brandon Beane,0.02661632
Tylan Grable,2024,T,UCF,BUF_Brandon Beane,1,BUF_Brandon Beane,0.3404136,IND_Chris Ballard,0.037998796,PHI_Howie Roseman,0.035141043,GB_Brian Gutekunst,0.020036135,NO_Mickey Loomis,0.014365835
Tyler Davis,2024,DT,Clemson,LA_Les Snead,1,LA_Les Snead,0.3374151,ARI_Monti Ossenfort,0.038742483,CIN_Mike Brown,0.02625293,ATL_Terry Fontenot,0.025206957,GB_Brian Gutekunst,0.022429155
Marcellas Dial,2024,CB,South Carolina,NE_Eliot Wolf,0,NYG_Joe Schoen,0.33597735,JAX_Trent Baalke,0.0568156,MIN_Kwesi Adofo-Mensah,0.028373364,CAR_Scott Fitterer,0.025405968,DEN_George Paton,0.02447904
Isaiah Adams,2024,G,Illinois,ARI_Monti Ossenfort,1,ARI_Monti Ossenfort,0.33586836,NO_Mickey Loomis,0.019678868,BAL_Eric DeCosta,0.018178962,GB_Brian Gutekunst,0.016954524,CLE_Andrew Berry,0.015888115
Adonai Mitchell,2024,WR,Texas,IND_Chris Ballard,1,IND_Chris Ballard,0.3343358,DEN_George Paton,0.0291593,CIN_Mike Brown,0.023694618,JAX_Trent Baalke,0.023569861,CAR_Scott Fitterer,0.020042678
Xavier Worthy,2024,WR,Texas,KC_Brett Veach,1,KC_Brett Veach,0.33426324,PHI_Howie Roseman,0.02250234,CIN_Mike Brown,0.019755173,NYG_Joe Schoen,0.019421387,PIT_Omar Khan,0.017203582
Edefuan Ulofoshio,2024,LB,Washington,BUF_Brandon Beane,1,BUF_Brandon Beane,0.33216554,TB_Jason Licht,0.037781376,NO_Mickey Loomis,0.030388951,IND_Chris Ballard,0.020779803,SEA_John Schneider,0.020358576
Zay Flowers,2023,WR,Boston College,BAL_Eric DeCosta,1,BAL_Eric DeCosta,0.3310168,DEN_George Paton,0.024558645,MIA_Chris Grier,0.023645433,ARI_Monti Ossenfort,0.022135181,TB_Jason Licht,0.018747553
Viliami Fehoko Jr.,2023,ED,San Jose State,DAL_Jerry Jones,1,DAL_Jerry Jones,0.3228989,ATL_Terry Fontenot,0.050001018,TB_Jason Licht,0.024521071,HOU_Nick Caserio,0.017034264,SF_John Lynch,0.015425618
Trevor Keegan,2024,G,Michigan,PHI_Howie Roseman,1,PHI_Howie Roseman,0.32042706,GB_Brian Gutekunst,0.04902739,CLE_Andrew Berry,0.026094744,KC_Brett Veach,0.024430955,NO_Mickey Loomis,0.023559187
Jack Campbell,2023,LB,Iowa,DET_Brad Holmes,1,DET_Brad Holmes,0.3200094,PIT_Omar Khan,0.04224511,IND_Chris Ballard,0.038188074,KC_Brett Veach,0.024020696,NE_Eliot Wolf,0.020790935
Rashee Rice,2023,WR,SMU,KC_Brett Veach,1,KC_Brett Veach,0.31971884,MIA_Chris Grier,0.034800556,DET_Brad Holmes,0.032628555,CIN_Mike Brown,0.024096537,IND_Chris Ballard,0.017315492
Brandon Dorlus,2024,ED,Oregon,ATL_Terry Fontenot,1,ATL_Terry Fontenot,0.31966332,HOU_Nick Caserio,0.037208874,SEA_John Schneider,0.031883642,TEN_Ran Carthon,0.019542951,BAL_Eric DeCosta,0.015579903
Andru Phillips,2024,CB,Kentucky,NYG_Joe Schoen,1,NYG_Joe Schoen,0.31923297,MIA_Chris Grier,0.03595646,WAS_Adam Peters,0.022776246,SF_John Lynch,0.01985287,CLE_Andrew Berry,0.018066255
Austin Booker,2024,ED,Kansas,CHI_Ryan Poles,1,CHI_Ryan Poles,0.3181587,TEN_Ran Carthon,0.03438574,ATL_Terry Fontenot,0.029369988,SEA_John Schneider,0.022025831,CLE_Andrew Berry,0.01942627
Javon Baker,2024,WR,UCF,NE_Eliot Wolf,1,NE_Eliot Wolf,0.3122811,TB_Jason Licht,0.035589755,BUF_Brandon Beane,0.034857046,KC_Brett Veach,0.03371142,GB_Brian Gutekunst,0.019337764
Bub Means,2024,WR,Pittsburgh,NO_Mickey Loomis,1,NO_Mickey Loomis,0.30926892,IND_Chris Ballard,0.022569308,PHI_Howie Roseman,0.01791777,NYJ_Joe Douglas,0.016951662,TB_Jason Licht,0.016532166
Javon Solomon,2024,ED,Troy,BUF_Brandon Beane,1,BUF_Brandon Beane,0.30328506,ARI_Monti Ossenfort,0.03361096,SEA_John Schneider,0.030283736,NYJ_Joe Douglas,0.021688461,NO_Mickey Loomis,0.01640941
Dylan McMahon,2024,C,NC State,PHI_Howie Roseman,1,PHI_Howie Roseman,0.3024525,GB_Brian Gutekunst,0.04263344,PIT_Omar Khan,0.041723378,LA_Les Snead,0.022564644,CIN_Mike Brown,0.017775875
Caedan Wallace,2024,T,Penn State,NE_Eliot Wolf,1,NE_Eliot Wolf,0.30194905,PHI_Howie Roseman,0.04533487,PIT_Omar Khan,0.04224765,CIN_Mike Brown,0.030618371,BUF_Brandon Beane,0.024421617
Jacob Monk,2024,C,Duke,GB_Brian Gutekunst,1,GB_Brian Gutekunst,0.29930377,PHI_Howie Roseman,0.04387296,SEA_John Schneider,0.03152225,DET_Brad Holmes,0.031229923,SF_John Lynch,0.018531028
Evan Williams,2024,S,Oregon,GB_Brian Gutekunst,1,GB_Brian Gutekunst,0.2974158,BUF_Brandon Beane,0.057690516,DET_Brad Holmes,0.041919753,NO_Mickey Loomis,0.03509221,NYG_Joe Schoen,0.0298183
Kimani Vidal,2024,RB,Troy,LAC_Joe Hortiz,1,LAC_Joe Hortiz,0.2972329,GB_Brian Gutekunst,0.034046683,IND_Chris Ballard,0.033231076,SF_John Lynch,0.032549962,TB_Jason Licht,0.029053135
Ryan Hayes,2023,T,Michigan,MIA_Chris Grier,1,MIA_Chris Grier,0.29672524,GB_Brian Gutekunst,0.02618927,SF_John Lynch,0.025950434,BAL_Eric DeCosta,0.02177406,TEN_Ran Carthon,0.02086244
